iter	R2	RMSE
182	0.7106473696	3128.383094
183	0.710871011	3127.173893
184	0.7109535858	3126.727303
185	0.7112510252	3125.11813
186	0.7113719302	3124.463787
187	0.7116530318	3122.941922
188	0.7120186335	3120.961469
189	0.7121988578	3119.984737
190	0.7122232269	3119.852645
191	0.7123023674	3119.423625
192	0.7124739032	3118.49353
193	0.7125345705	3118.164515
194	0.7127380353	3117.060819
195	0.7127701793	3116.886418
196	0.7129757353	3115.770919
197	0.7130818099	3115.195123
198	0.7132312115	3114.383958
199	0.7133798742	3113.576595
200	0.7136212001	3112.265549
201	0.713722423	3111.715472
202	0.7139967888	3110.223995
203	0.7140257418	3110.066562
204	0.7142788949	3108.689695
205	0.7145395818	3107.271215
206	0.7147050046	3106.37076
207	0.714738916	3106.186136
208	0.714747375	3106.140081
209	0.7148806458	3105.414398
210	0.7149183655	3105.208977
211	0.7151450674	3103.974073
212	0.7152280959	3103.521672
213	0.7152406392	3103.453321
214	0.7153224114	3103.007692
215	0.7153327671	3102.951252
216	0.7154346611	3102.395866
217	0.7154535998	3102.292628
218	0.7155650715	3101.684903
219	0.7156124962	3101.426316
220	0.7156194958	3101.388148
221	0.7158050932	3100.375942
222	0.7159488863	3099.591499
223	0.7159908038	3099.362787
224	0.7160697885	3098.931781
225	0.7163049987	3097.647924
226	0.7164731765	3096.729626
227	0.7165569266	3096.272226
228	0.716716926	3095.398203
229	0.7168781514	3094.517233
230	0.7168932547	3094.434692
231	0.7169495939	3094.126776
232	0.7169973656	3093.86566
233	0.7171371117	3093.101693
234	0.7171761942	3092.888002
235	0.7171838655	3092.846056
236	0.7171846627	3092.841697
237	0.7172025431	3092.743927
238	0.7172886269	3092.273174
239	0.7173841009	3091.750987
240	0.7176196693	3090.462187
241	0.7176335247	3090.386367
242	0.7178619433	3089.136139
243	0.7178780091	3089.048186
244	0.7180185526	3088.278661
245	0.7181250284	3087.695541
246	0.7181334478	3087.649427
247	0.7181506419	3087.555251
248	0.7181624437	3087.490608
249	0.7183315058	3086.564444
250	0.7184524992	3085.901441
251	0.7184621389	3085.848613
252	0.7184672004	3085.820874
253	0.7184762455	3085.771302
254	0.7186152505	3085.009394
255	0.7186203858	3084.981243
256	0.7187817364	3084.096611
257	0.7189834319	3082.990424
258	0.718985742	3082.977752
259	0.7190777978	3082.472743
260	0.7190779923	3082.471676
261	0.7191426166	3082.117104
262	0.7191916833	3081.847865
263	0.719336735	3081.051797
264	0.719441884	3080.474593
265	0.719447891	3080.441615
266	0.7197331426	3078.875196
267	0.7197375219	3078.851141
268	0.7199191414	3077.85338
269	0.720092008	3076.903404
270	0.7203348294	3075.568501
271	0.7205723743	3074.262044
272	0.7205770612	3074.236261
273	0.7205812051	3074.213466
274	0.7205972513	3074.125193
275	0.7206153872	3074.025422
276	0.7206241623	3073.977145
277	0.7208074808	3072.968452
278	0.7209770039	3072.035371
279	0.7210682402	3071.533075
280	0.7213491574	3069.985988
281	0.7213717676	3069.861433
282	0.7214155582	3069.620186
283	0.7214156376	3069.619749
284	0.7214570576	3069.391545
285	0.7214640313	3069.353121
286	0.7217580138	3067.73291
287	0.7217960937	3067.522979
288	0.7218892794	3067.009195
289	0.7218913774	3066.997627
290	0.7218959056	3066.972658
291	0.7221145738	3065.766669
292	0.7221415099	3065.618079
293	0.7223599144	3064.413012
294	0.7224419048	3063.9605
295	0.7226571149	3062.772418
296	0.7227547006	3062.233539
297	0.7229822148	3060.976809
298	0.7230388712	3060.663774
299	0.7230406168	3060.654128
300	0.7230954399	3060.351191
301	0.7231289787	3060.165849
302	0.7231809619	3059.878559
303	0.723186109	3059.850112
304	0.7233459583	3058.966512
305	0.723404205	3058.644478
306	0.7234420009	3058.435494
307	0.7235181445	3058.014431
308	0.7236678713	3057.186296
309	0.7237243643	3056.873776
310	0.7237702866	3056.619711
311	0.7237720575	3056.609913
312	0.7238561534	3056.144594
313	0.724089064	3054.855486
314	0.7241515062	3054.50979
315	0.724151665	3054.508911
316	0.7241563903	3054.482749
317	0.7241825611	3054.337847
318	0.7241897534	3054.298024
319	0.7242534939	3053.945075
320	0.7242724015	3053.840371
321	0.7243111459	3053.625805
322	0.7243878316	3053.201077
323	0.7244346025	3052.942004
324	0.7244468699	3052.87405
325	0.724690282	3051.525361
326	0.7247964842	3050.936733
327	0.7248935466	3050.398663
328	0.7249202949	3050.250366
329	0.725042499	3049.572755
330	0.7250644985	3049.450753
331	0.725310984	3048.083498
332	0.7255626451	3046.686901
333	0.7256611013	3046.140342
334	0.7257355312	3045.727095
335	0.7257376049	3045.715581
336	0.7258218303	3045.247879
337	0.7258359713	3045.169347
338	0.7258612479	3045.028969
339	0.7261539815	3043.402748
340	0.7262551982	3042.840257
341	0.7262835166	3042.682865
342	0.7263040381	3042.568803
343	0.7263518431	3042.303077
344	0.7263769525	3042.163496
345	0.7264232909	3041.905887
346	0.7266480805	3040.65591
347	0.726653818	3040.623999
348	0.7267329009	3040.18412
349	0.7268526895	3039.517703
350	0.7269959262	3038.720647
351	0.7270046173	3038.672278
352	0.7270258948	3038.553857
353	0.7270963836	3038.161516
354	0.7271676556	3037.764765
355	0.7273488036	3036.75613
356	0.7274040882	3036.448237
357	0.7275203925	3035.800411
358	0.7276117512	3035.291437
359	0.7276186996	3035.252723
360	0.7276636121	3035.002474
361	0.7278698287	3033.853185
362	0.7280383894	3032.913436
363	0.7280707271	3032.733117
364	0.7280887394	3032.632673
365	0.7281428989	3032.330636
366	0.7282046162	3031.986415
367	0.7282762792	3031.586674
368	0.7283457471	3031.199127
369	0.728398164	3030.906671
370	0.7284075761	3030.854154
371	0.728412705	3030.825536
372	0.7284911265	3030.387925
373	0.7285607515	3029.999348
374	0.7286138305	3029.703081
375	0.7286952989	3029.248298
376	0.7287202471	3029.109015
377	0.7289130147	3028.032603
378	0.7290099862	3027.49097
379	0.7290323573	3027.366003
380	0.7290661284	3027.177344
381	0.7291746238	3026.571167
382	0.729330734	3025.698748
383	0.7293393607	3025.65053
384	0.7293589702	3025.540924
385	0.7293733263	3025.460678
386	0.7295022634	3024.739868
387	0.7295315137	3024.576324
388	0.7296334997	3024.006029
389	0.7297372301	3023.425869
390	0.7302105857	3020.776997
391	0.7302278497	3020.680345
392	0.730276326	3020.408935
393	0.7303203962	3020.162172
394	0.7303314894	3020.100054
395	0.7304399778	3019.492496
396	0.7307420729	3017.800054
397	0.7308108461	3017.41463
398	0.7308313364	3017.299787
399	0.7311457979	3015.536762
400	0.731163232	3015.438988
401	0.7313415951	3014.438507
402	0.7313591781	3014.339861
403	0.7314785377	3013.670137
404	0.7315599166	3013.213437
405	0.7315837404	3013.079724
406	0.7316167068	3012.894688
407	0.7316859929	3012.505757
408	0.7317049262	3012.399468
409	0.7319557671	3010.990926
410	0.7320635639	3010.385414
411	0.7320981254	3010.191251
412	0.7321087644	3010.131479
413	0.7321173172	3010.083428
414	0.7322220179	3009.495132
415	0.7322542597	3009.313948
416	0.7323080622	3009.011577
417	0.7323155097	3008.969719
418	0.7323521993	3008.763504
419	0.7324348636	3008.298832
420	0.7324956432	3007.957133
421	0.7325908206	3007.421974
422	0.7326985368	3006.816196
423	0.7327730021	3006.397345
424	0.7327994768	3006.248417
425	0.7328169254	3006.150259
426	0.7328315944	3006.067735
427	0.7328621876	3005.895619
428	0.7328732446	3005.833411
429	0.732893403	3005.719993
430	0.732959718	3005.346852
431	0.732974967	3005.261043
432	0.7330563433	3004.803079
433	0.7331347632	3004.361686
434	0.733146133	3004.297686
435	0.7331913729	3004.043015
436	0.7331982813	3004.004123
437	0.7332088248	3003.944766
438	0.7332882927	3003.497347
439	0.7333007283	3003.427326
440	0.7333263658	3003.282964
441	0.7334067092	3002.830516
442	0.7334362725	3002.664015
443	0.7334919321	3002.350514
444	0.7336745054	3001.321947
445	0.7337121336	3001.109917
446	0.733746651	3000.915402
447	0.7340621203	2999.137063
448	0.7340743878	2999.067888
449	0.7341027539	2998.90793
450	0.7341309989	2998.748646
451	0.7341527886	2998.62576
452	0.7342354296	2998.159649
453	0.7342387941	2998.140671
454	0.7343759392	2997.366981
455	0.7348125799	2994.902387
456	0.7349378316	2994.195037
457	0.7350174481	2993.745321
458	0.7351093137	2993.226332
459	0.7351275961	2993.123036
460	0.7352698757	2992.319031
461	0.735464091	2991.221194
462	0.7355684066	2990.631366
463	0.7355731436	2990.604579
464	0.7356083368	2990.405559
465	0.7356493996	2990.173329
466	0.7356755845	2990.025232
467	0.7357915422	2989.369306
468	0.7358021029	2989.309561
469	0.7362353919	2986.857296
470	0.7362734505	2986.641801
471	0.7362846629	2986.578312
472	0.7363786603	2986.046004
473	0.7364137566	2985.847229
474	0.7364364425	2985.718736
475	0.7364462892	2985.662962
476	0.7368978964	2983.103854
477	0.7369384914	2982.873708
478	0.7369867166	2982.600281
479	0.7371419166	2981.720158
480	0.7371741304	2981.537444
481	0.7371778367	2981.516422
482	0.7372073415	2981.349062
483	0.7372669308	2981.011027
484	0.7372710243	2980.987804
485	0.7372822862	2980.923913
486	0.7373737442	2980.405004
487	0.7373875439	2980.326701
488	0.7374074966	2980.213479
489	0.7377039398	2978.530808
